field0	field1	field2	field3	field4				
74	Kun Lai Summit - Alliance Hub Swap Scene - Worker 01 - JSB	"
-- small tent panda 01
-- wait a little before running in
Wait(2)
FadeIn( panda01, 1 )

-- run to the tents
RunToLocation( panda01, 5.5, 2124.77, 1439.72, 487.887, 13.4 )
RunToLocation( panda01, 5.5, 2142.83, 1443.31, 487.887, 311.3 )

Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda01, fire14.bunny, throwBucketSpellID )

-- wait for missile to hit
Wait(2)
PutOutFire( fire14 )
PutOutFire( fire16 )
PutOutFire( fire17 )
PutOutFire( fire20 )
PutOutFire( fire21 )
PutOutFire( fire22 )
PutOutFire( fire18 )
PutOutFire( fire19 )

Wait(1)

RunToLocation( panda01, 3, 2142.27, 1441.6, 487.886, 319.625 )

PlayLoopingSplitBodyAnim( panda01, Animations.EmoteWork )

Wait(2)

FadeOut( fire14.smoke )
FadeOut( fire16.smoke )
FadeOut( fire17.smoke )
FadeOut( fire20.smoke )
FadeOut( fire21.smoke )
FadeOut( fire22.smoke )
FadeOut( fire18.smoke )
FadeOut( fire19.smoke )

Wait(1)

FadeIn( workDust01, 5 )

-- taylor trigger
WaitForTrigger( \flagPlant\"" )"						
75	Kun Lai Summit - Alliance Hub Swap Scene - Worker 02 - JSB	"
-- small tents panda 02
-- wait a little before running in
Wait(1)
FadeIn( panda02, 1 )

-- run to the tents
-- RunToLocation( panda02, 5.5, 2129.01, 1466.96, 487.886, 47.8317 )
RunToLocation( panda02, 5.5, 2152.03, 1484.51, 487.886, 91.0317 )

Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda02, fire10.bunny, throwBucketSpellID )

-- wait for missile to hit
Wait(2)
PutOutFire( fire09, smokeFadeOutTime )
PutOutFire( fire08, smokeFadeOutTime )
PutOutFire( fire10, smokeFadeOutTime )

Wait(1)

RunToLocation( panda02, 3, 2149.38, 1493.51, 487.886, 86.5315 )

PlayLoopingSplitBodyAnim( panda02, Animations.EmoteWork )

Wait(2)

FadeOut( fire09.smoke )
FadeOut( fire08.smoke )
FadeOut( fire10.smoke )

Wait(1)

FadeIn( workDust02, 5 )
FadeIn( workDust04, 5 )
FadeIn( workDust05, 5 )


WaitForTrigger( \flagPlant\"" )"						
76	Kun Lai Summit - Alliance Hub Swap Scene - Worker 03 - JSB	"
-- tower fire panda
-- wait a little before running in
Wait(3)
FadeIn( panda03, 1 )

-- run to the tents
RunToLocation( panda03, 5.5, 2119.68, 1473.66, 487.886, 98.231 )


Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda03, fire03.bunny, throwBucketSpellID )

-- wait for missile to hit
Wait(2)
PutOutFire( fire03, smokeFadeOutTime )
PutOutFire( fire05, smokeFadeOutTime )
PutOutFire( fire06, smokeFadeOutTime )
PutOutFire( fire04, smokeFadeOutTime )
PutOutFire( fire11, smokeFadeOutTime )
PutOutFire( fire07, smokeFadeOutTime )

Wait(1)

RunToLocation( panda03, 3, 2148.77, 1477.56, 487.887, 339.207 )

PlayLoopingSplitBodyAnim( panda03, Animations.EmoteWork )

-- Wait(2)

FadeOut( fire03.smoke )
FadeOut( fire05.smoke )
FadeOut( fire06.smoke )
FadeOut( fire04.smoke )
FadeOut( fire11.smoke )
FadeOut( fire07.smoke )

FadeIn( workDust03, 5 )

-- nazgrim trigger
WaitForTrigger( \flagPlant\"" )"						
77	Kun Lai Summit - Alliance Hub Swap Scene - Worker 04 - JSB	"
-- banner panda
-- wait a little before running in
Wait(10)
FadeIn( panda04, 1 )

-- run to north post
RunToLocation( panda04, 5.5, 2099.62, 1447.23, 487.911, 69.189 )


Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda04, fire13.bunny, throwBucketSpellID )

-- wait for missile to hit
Wait(2)
PutOutFire( fire13, smokeFadeOutTime )
PutOutFire( fire15, smokeFadeOutTime )

Wait(1)

RunToLocation( panda04, 5, 2098.87, 1447.92, 487.936, 123.639 )

PlayLoopingSplitBodyAnim( panda04, Animations.EmoteWork )

Wait(2)

FadeOut( fire13.smoke )
FadeOut( fire15.smoke )"	0	0				
78	Kun Lai Summit - Alliance Hub Swap Scene - Worker 05 - JSB	"
-- large tent panda
-- wait a little before running in
Wait(3)
FadeIn( panda05, 1 )

-- run to the tents
-- RunToLocation( panda05, 5.5, 2134.59, 1451.11, 487.886, 34.7651 )
RunToLocation( panda05, 5.5, 2152.82, 1462.71, 487.886, 30.484 )

Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda05, fire01.bunny, throwBucketSpellID )

-- wait for missile to hit
Wait(3.5)
PutOutFire( fire01, smokeFadeOutTime )
PutOutFire( fire02, smokeFadeOutTime )
PutOutFire( fire12, smokeFadeOutTime )
PutOutFire( fire23, smokeFadeOutTime )

Wait(1)

RunToLocation( panda05, 3,  2159.28, 1460.91, 487.886, 5.73899 )

PlayLoopingSplitBodyAnim( panda05, Animations.EmoteWork )

Wait(2)

FadeOut( fire01.smoke )
FadeOut( fire02.smoke )
FadeOut( fire12.smoke )
FadeOut( fire23.smoke )

-- Wait(1)

FadeIn( workDust06, 5 )

WaitForTrigger( \flagPlant\"" )"						
80	Kun Lai Summit - Alliance Hub Swap Scene - Taylor 01 - JSB	"

-- wait before running in
Wait(20)

FadeIn( taylor01, 5 )

-- run to tent
RunToLocation( taylor01, 5,  2141.59, 1470.78, 487.886, 44 )

Wait(1)

-- plant banner - NEED EMOTE HERE
-- CastSpellAtActor( panda01, fire03.bunny, throwBucketSpellID )


-- tent swap
PlayOneShotSplitBodyAnim( taylor01, Animations.Attack1H )
Wait(0.5)
FadeIn( banner01, 0 )

FadeIn( tent05, 0 )
FadeIn( tent06, 0 )
FadeIn( tent07, 0 )
FadeIn( tent08, 0 )
FadeOut( tent01, 0 )
FadeOut( tent02, 0 )
FadeOut( tent03, 0 )
FadeOut( tent04, 0 )

Wait(1)

FadeOut( workDust01, 2 )
FadeOut( workDust02, 2 )
FadeOut( workDust03, 2 )
FadeOut( workDust04, 2 )
FadeOut( workDust05, 2 )
FadeOut( workDust06, 2 )

SendTrigger( \flagPlant\"" )"						
82	Kun Lai Summit - Alliance Hub Swap Scene - Sully 01 - JSB	"
-- wait before running in
Wait(24)

FadeIn( sully01, 0 )

-- run into scene
RunToLocation( sully01, 5, 2117.5, 1443.63, 487.887, 30.1199 )
RunToLocation( sully01, 3, 2136.57, 1454.03, 487.886, 13.4693 )

-- taylor trigger
WaitForTrigger( \flagPlant\"" )"						
85	PetBattle - Constants	"--------------------------------------------------------------------------------
-- event types
PetBattleEvent = 
{
	RoundEffect = 0;
	RoundComplete = 1;
	BattleOver = 2;
	ObserverChange = 3;
}

--------------------------------------------------"						
87	PetBattle - Effect Aura Remove	"
--------------------------------------------------------------------------------
-- REMOVE AURA

function EffectAuraRemove(effect)

	local casterPlayerID = effect.casterPlayerID
	local casterPetSlot = effect.casterPetSlot

	local casterPlayer = GetTeamByIndex(casterPlayerID)
	local casterPet = casterPlayer.pets[casterPetSlot]

	if not casterPet then
		return
	end

	RemoveAura(casterPet, effect.auraInstanceID)

end

--------------------------------------------------------------------------------
function RemoveAura(pet, auraInstanceID)

	RemoveAuraVisual(pet, pet.auras[auraInstanceID])
	pet.auras[auraInstanceID] = nil

end

--------------------------------------------------------------------------------
function RemoveAuraVisual(pet, aura)

	if aura and aura.spellVisualInstanceID then
		pet.actor:ClearSpellStateVisual(aura.spellVisualID, aura.spellVisualInstanceID)
		aura.spellVisualInstanceID = nil
	end

end

--------------------------------------------------------------------------------
function RemoveAllAuraVisuals(pet)

	for auraInstanceID, aura in pairs(pet.auras) do
		RemoveAuraVisual(pet, aura)
	end

end
"	0	0				
92	Kun Lai Summit - Reclaiming the Thunder God - Init - Generic Actors 01 - JSB	"
-- Spawn Clone
playerCloneCreatureID = 61079
playerClone01 = SpawnActor( playerCloneCreatureID, 3630.21, 1780.71, 742.973, 221.07 ) -- player clone
FadeOut( playerClone01, 0 )

-- Spawn Mogu Door
moguDoorCreatureID = 61129
moguDoor01 = SpawnActor( moguDoorCreatureID, 3674.03, 1657.67, 742.974, 353 ) -- mogu door

-- Spawn Priest
trollPriestCreatureID = 61075
trollPriest01 = SpawnActor( trollPriestCreatureID, 3605.16, 1622.07, 742.666, 85.6491 ) -- troll priest
FadeOut( trollPriest01, 0 )

-- Spawn PriestGrunt 01
-- trollGruntACreatureID = 61148
-- trollPriestGrunt01 = SpawnActor( trollGruntACreatureID, 3606.02, 1600, 742.973, 81.5797 ) -- troll priest grunt a
-- FadeOut( trollPriestGrunt01, 0 )

-- Spawn PriestGrunt 02
-- trollGruntBCreatureID = 61149
-- trollPriestGrunt02 = SpawnActor( trollGruntBCreatureID, 3599.39, 1600, 742.973, 81.5797 ) -- troll priest grunt b
-- FadeOut( trollPriestGrunt02, 0 )

-- Spawn Grunts

-- Spawn Grunt 01
trollGruntCreatureID = 61074

trollGrunt01 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
trollGrunt02 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
trollGrunt03 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
trollGrunt04 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
trollGrunt05 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
trollGrunt06 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
trollGrunt07 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
trollGrunt08 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
trollGrunt09 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )

"	0	0				
93	Kun Lai Summit - Reclaiming the Thunder God - Init - Generic Actors 02 - JSB	"
-- Spawn Fire Wall
-- fireWallModel = \WORLD\\EXPANSION03\\DOODADS\\GRIMBATOLRAID\\GrimBatolRaid_Fire_Wall_01.M2\"""						
95	Kun Lai Summit - Reclaiming the Thunder God - Master Script - JSB	"
scene:WaitTimer(1)

scene:SetCamera(345,4,nil,nil) -- (camera, transition time, primary target, secondary target)


scene:WaitTimer(2)

scene:SetCamera(346,3,nil,nil)

scene:WaitTimer(2)

scene:SetCamera(347,2.2,nil,nil) -- down the hall

scene:WaitTimer(1.2)

scene:SetCamera(337,4,nil,nil) -- turn
scene:WaitTimer(1.5) -- wait for doors to open

scene:SetCamera(338,15,nil,nil)

scene:WaitTimer(5.5) 
scene:SetCamera(339,5,nil,nil)

scene:WaitTimer(2) 

scene:SetCamera(340,6,nil,nil) -- look at thunder king

scene:WaitTimer(5)

scene:SetCamera(338,2.5,nil,nil) -- backing up

scene:WaitTimer(1)

SendTrigger( \cloneTrigger\"" )"						
117	Kun Lai Summit - Reclaiming the Thunder God - Troll Priest 01 - JSB	"-- clone trigger
WaitForTrigger( \cloneTrigger\"" )"						
120	Kun Lai Summit - Reclaiming the Thunder God - Grunt 01 - JSB	"-- path 01
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
121	Kun Lai Summit - Resurrecting the Thunder God - Master Script - JSB	"
scene:WaitTimer(1)

scene:SetCamera(359,3,nil,nil)
scene:WaitTimer(2)

scene:SetCamera(348,5,nil,nil)
scene:WaitTimer(2)

scene:SetCamera(349,5,nil,nil)
scene:WaitTimer(2)

scene:SetCamera(350,5,nil,nil) -- aiming at island
scene:WaitTimer(1.5)

scene:SetCamera(351,5,nil,nil)
scene:WaitTimer(1.5)

scene:SetCamera(352,5,nil,nil)
scene:WaitTimer(1.5)

scene:SetCamera(353,5,nil,nil)
scene:WaitTimer(1.5)

scene:SetCamera(354,5,nil,nil)
scene:WaitTimer(1.5)

scene:SetCamera(358,5,nil,nil)
scene:WaitTimer(1.5)

scene:SetCamera(355,6,nil,nil)
scene:WaitTimer(2.5)

scene:SetCamera(356,16,nil,nil)
scene:WaitTimer(14)

scene:SetCamera(357,26,nil,nil)
scene:WaitTimer(23)

scene:SetCamera(0,0,nil,nil)
"	0	0				
122	Kun Lai Summit - Resurrecting the Thunder God - Init - Generic Actors 01 - JSB	"
-- Spawn Priest
trollUnderlingCreatureID = 61309
trollGuard01CreatureID = 61292
trollGuard02CreatureID = 61300
trollGuard03CreatureID = 61301
moguGuardCreatureID = 61304
trollPriestCreatureID = 61310

-- Spawn Underlings
trollUnderling01 = SpawnActor( trollUnderlingCreatureID, 4931.42, 66.8542, 6.84169, 25 ) -- first drum
trollUnderling02 = SpawnActor( trollUnderlingCreatureID, 4928.74, 22.5174, 1.05685, 317.344 )
trollUnderling03 = SpawnActor( trollUnderlingCreatureID, 5103.04, 25.6123, 6.4546, 287.645 )
trollUnderling04 = SpawnActor( trollUnderlingCreatureID, 5102.15, 18.2928, 5.92104, 54.319 )
trollUnderling05 = SpawnActor( trollUnderlingCreatureID, 5171.84, 15.3511, 12.9757, 104.494 )
trollUnderling06 = SpawnActor( trollUnderlingCreatureID, 5242.5, 44.022, 31.9608, 279.659 ) -- scene drum right
trollUnderling07 = SpawnActor( trollUnderlingCreatureID, 5250.12, 70.2691, 31.9608, 60.0603 ) -- scene drum left
trollUnderling08 = SpawnActor( trollUnderlingCreatureID, 4840.43, 39.5383, 2.19625, 292.79 ) -- kneeling
trollUnderling09 = SpawnActor( trollUnderlingCreatureID, 4832.77, 33.9119, 1.61703, 227.54 ) -- reading
trollUnderling10 = SpawnActor( trollUnderlingCreatureID, 4814.25, 65.1461, 3.15087, 56.99 ) -- working
trollUnderling11 = SpawnActor( trollUnderlingCreatureID, 5251.9, 66.0285, 31.9608, 24.2841 ) -- scene drum middle

-- Spawn Mogu
moguGuard01 = SpawnActor( moguGuardCreatureID, 5153.18, 87.0011, 13.2936, 152.085 ) -- base of stairs 01
moguGuard02 = SpawnActor( moguGuardCreatureID, 5167.13, 104.879, 15.1742, 144.21 ) -- base of stairs 02
moguGuard03 = SpawnActor( moguGuardCreatureID, 4883.96, 46.1186, 6.17683, 168.735 )
moguGuard04 = SpawnActor( moguGuardCreatureID, 4856.31, 63.453, 5.6103, 216.21 )

-- Spawn Troll Guards
trollGuard01 = SpawnActor( trollGuard01CreatureID, 4949.93, 50.9107, 1.9036, 187.411 ) -- first patroller




-- Spawn Grunt 01
-- trollGruntCreatureID = 61074

-- trollGrunt01 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
-- trollGrunt02 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
-- trollGrunt03 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
-- trollGrunt04 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
-- trollGrunt05 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
-- trollGrunt06 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
-- trollGrunt07 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
-- trollGrunt08 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )
-- trollGrunt09 = SpawnActor( trollGruntCreatureID, 3611.88, 1560.07, 757.963, 186.491 )

"	0	0				
123	Kun Lai Summit - Resurrecting the Thunder God - Troll Patroller 01	"
Wait(3)

RunToLocation( trollGuard01, 4, 4905.35, 48.013, 3.56636, 151.861 )
RunToLocation( trollGuard01, 4, 4885.88, 56.5586, 4.25848, 156.811 )"	0	0				
124	Kun Lai Summit - Resurrecting the Thunder God - Trolls at Dock	"
PlayLoopingSplitBodyAnim( trollUnderling08, Animations.KneelLoop )
PlayLoopingSplitBodyAnim( trollUnderling09, Animations.EmoteReadLoop )
PlayLoopingSplitBodyAnim( trollUnderling10, Animations.EmoteWork )

-- trollUnderling08 =  -- kneeling
-- trollUnderling09 =  -- reading
-- trollUnderling10 = -- working"	0	0				
125	Kun Lai Summit - Resurrecting the Thunder God - Troll Drummers	"
PlayLoopingSplitBodyAnim( trollUnderling01, Animations.Attack1H )
PlayLoopingSplitBodyAnim( trollUnderling06, Animations.Attack1H )
PlayLoopingSplitBodyAnim( trollUnderling07, Animations.Attack1H )

scene:WaitTimer(0.5)

PlayLoopingSplitBodyAnim( trollUnderling11, Animations.Attack1H )"	0	0				
126	Kun Lai Summit - Reclaiming the Thunder God - Grunt 02 - JSB	"-- path 02
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
127	Kun Lai Summit - Reclaiming the Thunder God - Grunt 03 - JSB	"-- path 03
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
128	Kun Lai Summit - Reclaiming the Thunder God - Grunt 04 - JSB	"-- path 04
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
129	Kun Lai Summit - Reclaiming the Thunder God - Grunt 09 - JSB	"-- path 09
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
130	Kun Lai Summit - Reclaiming the Thunder God - Grunt 08 - JSB	"-- path 08
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
131	Kun Lai Summit - Reclaiming the Thunder God - Grunt 07 - JSB	"-- path 07
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
132	Kun Lai Summit - Reclaiming the Thunder God - Grunt 06 - JSB	"-- path 06
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
133	Kun Lai Summit - Reclaiming the Thunder God - Grunt 05 - JSB	"-- path 05
-- priest trigger
WaitForTrigger( \priestTrigger\"" )"						
134	Test - Alex\'s Battle Pet - Init Library	"--- Pad Setup
-- pad: temp
--padModel = \world\\generic\\magehunter\\passive doodads\\runecircle\\mh_runecircle_01.m2\"""						
135	Test - Alex\'s Battle Pet - Camera Mode Library	"-- Manual Target

local camModel = \world\\generic\\magehunter\\passive doodads\\runecircle\\mh_runecircle_01.m2\"";"						
136	Test - Alex\'s Battle Pet - Setup Team Actors	"function SetupTeamActors()

	local radius = 2
	local facing = 0

	home1 = Vector:New( radius*battleScale, 0, 0)
	home2 = Vector:New(-radius*battleScale, 0, 0)

	homeTransform1 = Transform:New(home1, 180)
	homeTransform2 = Transform:New(home2, 0)


	-- Camera Targets
	pad1 = DoPadInit(homeTransform1);
	pad2 = DoPadInit(homeTransform2);


	master1Loc = Vector:New( 6, -6, 3);
	master1Transform = Transform:New(master1Loc, 180);
	
	master1 = scene:SpawnActor(ActorCreateData:New(55242, master1Transform, battleScale) );
	master1:SetFacingToAbs(Vector:New());

	master1petloc = home1;

	local master1frontVector = UnitVectorFromAtoB(master1Loc, Vector:New());
	local master1upVector = UnitVectorFromAtoB(master1Loc, VectorSum(master1Loc, Vector:New(0,0,1) ) );
	local master1leftVector = UnitVectorCrossProduct(master1frontVector, master1upVector);

	master1backpet1loc = master1Loc  + master1leftVector *  2  + master1frontVector*-1;
	master1backpet2loc = master1Loc  + master1leftVector * -2  + master1frontVector*-1;

	-- Pet Loc
	master1pet = scene:SpawnActor(ActorCreateData:New(40295, homeTransform1, battleScale))

	-- Armadillo
	master1backupPet1 = scene:SpawnActor(ActorCreateData:New(48242, Transform:New(master1backpet1loc,0), battleScale));
	master1backupPet1:SetFacingToTarget(master1pet, Vector:New())
	-- Parrot
	master1backupPet2 = scene:SpawnActor(ActorCreateData:New(11236, Transform:New(master1backpet2loc,0), battleScale));
	master1backupPet2:SetFacingToTarget(master1pet, Vector:New())

	-- Set the home point
	current1 = VectorCopy(master1pet:GetPosition());

	master2Loc = Vector:New( -6, 6, 3);
	master2Transform = Transform:New(master2Loc, 0);

	master2 = scene:SpawnActor(ActorCreateData:New(53828, master2Transform, battleScale/3) );
	master2:SetFacingToAbs(Vector:New());

	master2petloc = home2;


	local master2frontVector = UnitVectorFromAtoB(master1Loc, Vector:New());
	local master2upVector = UnitVectorFromAtoB(master1Loc, VectorSum(master1Loc, Vector:New(0,0,1) ) );
	local master2leftVector = UnitVectorCrossProduct(master1frontVector, master1upVector);

	master2backpet1loc = master2Loc  + master1leftVector *  2  + master2frontVector*-1;
	master2backpet2loc = master2Loc  + master1leftVector * -2  + master2frontVector*-1;


	-- Pet Loc
	master2pet = scene:SpawnActor(ActorCreateData:New(45340, homeTransform2, battleScale))

	-- Frog
	master2backupPet1 = scene:SpawnActor(ActorCreateData:New(14878, Transform:New(master2backpet1loc,0), battleScale));
	master2backupPet1:SetFacingToTarget(master2pet, Vector:New())

	-- Croc
	master2backupPet2 = scene:SpawnActor(ActorCreateData:New(24388, Transform:New(master2backpet2loc,0), battleScale));
	master2backupPet2:SetFacingToTarget(master2pet, Vector:New())

	-- Set the home point
	current2 = VectorCopy(master2pet:GetPosition());

end"	0	0				
